week,women_nonbetrayal_fit,women_betrayal_fit,men_nonbetrayal_fit,men_betrayal_fit
33.28,7.9616,25.1562,18.3859,39.2281
33.627,7.8999,25.0605,18.3439,39.182
33.973,7.8407,24.968,18.3037,39.1377
34.32,7.7839,24.8787,18.2652,39.0951
34.667,7.7294,24.7924,18.2283,39.0541
35.013,7.6772,24.7091,18.1929,39.0147
35.36,7.6271,24.6286,18.1591,38.9768
35.707,7.5791,24.5508,18.1266,38.9404
36.053,7.533,24.4756,18.0956,38.9054
36.4,7.4889,24.403,18.0658,38.8717
36.747,7.4465,24.3329,18.0373,38.8393
37.093,7.4059,24.2651,18.0101,38.8082
37.44,7.3669,24.1997,17.9839,38.7783
37.787,7.3295,24.1364,17.9589,38.7495
38.133,7.2937,24.0754,17.9349,38.7218
38.48,7.2593,24.0164,17.912,38.6952
38.827,7.2264,23.9594,17.89,38.6696
39.173,7.1948,23.9043,17.8689,38.645
39.52,7.1644,23.8511,17.8488,38.6214
39.867,7.1354,23.7997,17.8294,38.5987
40.213,7.1075,23.75,17.8109,38.5768
40.56,7.0807,23.7021,17.7932,38.5558
40.907,7.0551,23.6557,17.7762,38.5356
41.253,7.0305,23.611,17.76,38.5161
41.6,7.0069,23.5677,17.7444,38.4975
41.947,6.9843,23.526,17.7295,38.4795
42.293,6.9626,23.4856,17.7152,38.4622
42.64,6.9418,23.4466,17.7015,38.4456
42.987,6.9218,23.409,17.6884,38.4297
43.333,6.9027,23.3726,17.6759,38.4143
43.68,6.8843,23.3374,17.6639,38.3996
44.027,6.8667,23.3035,17.6524,38.3854
44.373,6.8499,23.2707,17.6413,38.3717
44.72,6.8337,23.239,17.6308,38.3586
45.067,6.8181,23.2084,17.6207,38.346
45.413,6.8033,23.1788,17.611,38.3339
45.76,6.789,23.1502,17.6017,38.3222
46.107,6.7753,23.1226,17.5928,38.311
46.453,6.7622,23.096,17.5843,38.3002
46.8,6.7496,23.0702,17.5762,38.2899
47.147,6.7375,23.0453,17.5683,38.2799
47.493,6.7259,23.0213,17.5609,38.2703
47.84,6.7148,22.9981,17.5537,38.2611
48.187,6.7041,22.9756,17.5468,38.2523
48.533,6.6939,22.954,17.5403,38.2437
48.88,6.6841,22.933,17.534,38.2355
49.227,6.6747,22.9128,17.528,38.2277
49.573,6.6657,22.8933,17.5222,38.2201
49.92,6.6571,22.8744,17.5167,38.2128
50.267,6.6488,22.8562,17.5114,38.2058
50.613,6.6408,22.8385,17.5063,38.1991
50.96,6.6332,22.8215,17.5014,38.1926
51.307,6.6259,22.8051,17.4968,38.1864
51.653,6.6189,22.7892,17.4923,38.1804
52.0,6.6121,22.7739,17.4881,38.1747
52.347,6.6057,22.759,17.484,38.1692
52.693,6.5995,22.7447,17.4801,38.1638
53.04,6.5936,22.7309,17.4763,38.1587
53.387,6.5879,22.7175,17.4727,38.1538
53.733,6.5824,22.7046,17.4693,38.1491
54.08,6.5772,22.6922,17.466,38.1446
54.427,6.5722,22.6801,17.4628,38.1402
54.773,6.5674,22.6685,17.4598,38.136
55.12,6.5627,22.6572,17.4569,38.132
55.467,6.5583,22.6464,17.4542,38.1281
55.813,6.5541,22.6359,17.4515,38.1243
56.16,6.55,22.6257,17.449,38.1208
56.507,6.5461,22.6159,17.4465,38.1173
56.853,6.5423,22.6065,17.4442,38.114
57.2,6.5388,22.5974,17.442,38.1108
57.547,6.5353,22.5885,17.4398,38.1077
57.893,6.532,22.58,17.4378,38.1048
58.24,6.5288,22.5718,17.4358,38.1019
58.587,6.5258,22.5638,17.4339,38.0992
58.933,6.5229,22.5561,17.4321,38.0966
59.28,6.5201,22.5487,17.4304,38.0941
59.627,6.5174,22.5415,17.4288,38.0917
59.973,6.5148,22.5346,17.4272,38.0893
60.32,6.5124,22.5279,17.4257,38.0871
60.667,6.51,22.5214,17.4242,38.0849
61.013,6.5077,22.5152,17.4228,38.0829
61.36,6.5056,22.5091,17.4215,38.0809
61.707,6.5035,22.5033,17.4202,38.079
62.053,6.5015,22.4977,17.419,38.0771
62.4,6.4996,22.4922,17.4178,38.0753
62.747,6.4977,22.487,17.4167,38.0736
63.093,6.496,22.4819,17.4156,38.072
63.44,6.4943,22.477,17.4146,38.0704
63.787,6.4926,22.4722,17.4136,38.0689
64.133,6.4911,22.4676,17.4127,38.0675
64.48,6.4896,22.4632,17.4118,38.0661
64.827,6.4882,22.459,17.4109,38.0647
65.173,6.4868,22.4548,17.4101,38.0634
65.52,6.4855,22.4508,17.4093,38.0622
65.867,6.4842,22.447,17.4085,38.061
66.213,6.483,22.4433,17.4078,38.0599
66.56,6.4818,22.4397,17.4071,38.0587
66.907,6.4807,22.4362,17.4064,38.0577
67.253,6.4797,22.4328,17.4058,38.0567
67.6,6.4786,22.4296,17.4052,38.0557
67.947,6.4777,22.4265,17.4046,38.0547
68.293,6.4767,22.4234,17.404,38.0538
68.64,6.4758,22.4205,17.4035,38.053
68.987,6.4749,22.4177,17.403,38.0521
69.333,6.4741,22.415,17.4025,38.0513
69.68,6.4733,22.4123,17.402,38.0505
70.027,6.4726,22.4098,17.4016,38.0498
70.373,6.4718,22.4073,17.4011,38.0491
70.72,6.4711,22.4049,17.4007,38.0484
71.067,6.4704,22.4027,17.4003,38.0477
71.413,6.4698,22.4004,17.3999,38.0471
71.76,6.4692,22.3983,17.3996,38.0465
72.107,6.4686,22.3962,17.3992,38.0459
72.453,6.468,22.3942,17.3989,38.0453
72.8,6.4675,22.3923,17.3986,38.0448
73.147,6.4669,22.3904,17.3983,38.0442
73.493,6.4664,22.3886,17.398,38.0437
73.84,6.466,22.3869,17.3977,38.0433
74.187,6.4655,22.3852,17.3974,38.0428
74.533,6.4651,22.3836,17.3972,38.0423
74.88,6.4646,22.382,17.3969,38.0419
75.227,6.4642,22.3805,17.3967,38.0415
75.573,6.4638,22.379,17.3964,38.0411
75.92,6.4635,22.3776,17.3962,38.0407
76.267,6.4631,22.3762,17.396,38.0404
76.613,6.4627,22.3749,17.3958,38.04
76.96,6.4624,22.3736,17.3956,38.0397
77.307,6.4621,22.3724,17.3954,38.0393
77.653,6.4618,22.3712,17.3953,38.039
78.0,6.4615,22.3701,17.3951,38.0387
78.347,6.4612,22.369,17.3949,38.0384
78.693,6.461,22.3679,17.3948,38.0382
79.04,6.4607,22.3669,17.3946,38.0379
79.387,6.4605,22.3659,17.3945,38.0376
79.733,6.4602,22.3649,17.3944,38.0374
80.08,6.46,22.3639,17.3942,38.0371
80.427,6.4598,22.363,17.3941,38.0369
80.773,6.4596,22.3622,17.394,38.0367
81.12,6.4594,22.3613,17.3939,38.0365
81.467,6.4592,22.3605,17.3938,38.0363
81.813,6.459,22.3597,17.3937,38.0361
82.16,6.4588,22.359,17.3936,38.0359
82.507,6.4586,22.3582,17.3935,38.0357
82.853,6.4585,22.3575,17.3934,38.0355
83.2,6.4583,22.3568,17.3933,38.0354
83.547,6.4582,22.3562,17.3932,38.0352
83.893,6.458,22.3555,17.3931,38.035
84.24,6.4579,22.3549,17.393,38.0349
84.587,6.4578,22.3543,17.393,38.0348
84.933,6.4576,22.3538,17.3929,38.0346
85.28,6.4575,22.3532,17.3928,38.0345
85.627,6.4574,22.3527,17.3928,38.0344
85.973,6.4573,22.3521,17.3927,38.0342
86.32,6.4572,22.3516,17.3927,38.0341
86.667,6.4571,22.3511,17.3926,38.034
87.013,6.457,22.3507,17.3925,38.0339
87.36,6.4569,22.3502,17.3925,38.0338
87.707,6.4568,22.3498,17.3924,38.0337
88.053,6.4567,22.3494,17.3924,38.0336
88.4,6.4566,22.349,17.3923,38.0335
88.747,6.4565,22.3486,17.3923,38.0334
89.093,6.4565,22.3482,17.3923,38.0333
89.44,6.4564,22.3478,17.3922,38.0332
89.787,6.4563,22.3475,17.3922,38.0332
90.133,6.4562,22.3471,17.3921,38.0331
90.48,6.4562,22.3468,17.3921,38.033
90.827,6.4561,22.3465,17.3921,38.0329
91.173,6.4561,22.3462,17.392,38.0329
91.52,6.456,22.3459,17.392,38.0328
91.867,6.456,22.3456,17.392,38.0327
92.213,6.4559,22.3453,17.3919,38.0327
92.56,6.4558,22.345,17.3919,38.0326
92.907,6.4558,22.3448,17.3919,38.0326
93.253,6.4558,22.3445,17.3919,38.0325
93.6,6.4557,22.3443,17.3918,38.0325
93.947,6.4557,22.344,17.3918,38.0324
94.293,6.4556,22.3438,17.3918,38.0324
94.64,6.4556,22.3436,17.3918,38.0323
94.987,6.4555,22.3434,17.3918,38.0323
95.333,6.4555,22.3432,17.3917,38.0322
95.68,6.4555,22.343,17.3917,38.0322
96.027,6.4554,22.3428,17.3917,38.0322
96.373,6.4554,22.3426,17.3917,38.0321
96.72,6.4554,22.3424,17.3917,38.0321
97.067,6.4554,22.3422,17.3917,38.032
97.413,6.4553,22.3421,17.3916,38.032
97.76,6.4553,22.3419,17.3916,38.032
98.107,6.4553,22.3418,17.3916,38.032
98.453,6.4552,22.3416,17.3916,38.0319
98.8,6.4552,22.3415,17.3916,38.0319
99.147,6.4552,22.3413,17.3916,38.0319
99.493,6.4552,22.3412,17.3916,38.0318
99.84,6.4552,22.3411,17.3916,38.0318
100.187,6.4551,22.3409,17.3915,38.0318
100.533,6.4551,22.3408,17.3915,38.0318
100.88,6.4551,22.3407,17.3915,38.0317
101.227,6.4551,22.3406,17.3915,38.0317
101.573,6.4551,22.3405,17.3915,38.0317
101.92,6.455,22.3404,17.3915,38.0317
102.267,6.455,22.3403,17.3915,38.0317
102.613,6.455,22.3402,17.3915,38.0316
102.96,6.455,22.3401,17.3915,38.0316
103.307,6.455,22.34,17.3915,38.0316
103.653,6.455,22.3399,17.3915,38.0316
104.0,6.455,22.3398,17.3914,38.0316
